pl_name,PC1,PC2,PC3,PC4,Cluster_K4,Familia_Planeta
pi Men c,-0.4117057495188329,-0.5792469447127944,-0.7017589897549332,-0.3336741109601447,1,Familia 1 (Población Secundaria)
LHS 3844 b,-2.763455982671396,1.8405355147269251,-0.0568463329146748,1.0738239814219714,3,Familia 3 (Población Mayoritaria)
HD 202772 A b,0.2609339000594337,-3.814941469670702,-0.5733103150619676,0.0333543383871985,1,Familia 1 (Población Secundaria)
GJ 143 b,1.6450303710419298,1.629377679011297,0.2943702394674339,-0.1251661426624194,0,Familia 0 (Población Intermedia)
HD 23472 b,0.3244943951331325,1.3431084494391785,-0.2893392924605422,-0.8685077560065304,3,Familia 3 (Población Mayoritaria)
HD 23472 c,1.0041870324663948,1.7245065524944694,-0.5547504887743722,-0.9128868281288176,3,Familia 3 (Población Mayoritaria)
HD 219666 b,-0.2825741118431136,-0.5805663560436296,-0.3030984471755475,-0.2671035662311715,1,Familia 1 (Población Secundaria)
HD 1397 b,1.5635600669774512,-2.330697366070053,0.7850339467836911,0.015863846310142,1,Familia 1 (Población Secundaria)
TOI-172 b,1.3596027830136193,-1.8801032496611312,1.8727055733959157,-0.0685204499208474,1,Familia 1 (Población Secundaria)
HD 221416 b,1.5714344778431446,-2.3912720984410685,-0.337841038415306,-1.3029147580129372,1,Familia 1 (Población Secundaria)
HD 21749 c,-0.3532465203704485,0.9716730123237346,0.6779320421772244,-0.4841841878952531,3,Familia 3 (Población Mayoritaria)
HD 15337 b,-0.6096051647898242,0.1262282028077736,-0.2364700381252622,-0.3569501761222518,3,Familia 3 (Población Mayoritaria)
HD 15337 c,0.5924271728324026,0.7487818658267923,-0.1792758429212525,-0.3147521227417023,3,Familia 3 (Población Mayoritaria)
L 98-59 b,-2.138935341576881,2.282271049013457,-0.1023098704666248,-1.3453471289831511,3,Familia 3 (Población Mayoritaria)
L 98-59 c,-1.9021989703651343,2.385232800056579,-0.2921063904119951,-1.2064029533736478,3,Familia 3 (Población Mayoritaria)
