pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
AU Mic b,8.463446,0.07,4.79,8.99,0.07,,554.8,3540.0,0.862,0.635,0.01,4.37
AU Mic c,18.859023,0.119,2.79,14.46,0.18,,424.7,3540.0,0.862,0.635,0.01,4.37
BD+05 4868 A b,1.271869,0.0208,,6.2,,,1820.0,4596.0,0.69,0.7,-0.05,4.6
BD-14 3065 b,4.2889731,0.0656,21.59,3932.0,0.066,,2001.0,6935.0,2.35,1.41,-0.34,3.85
DS Tuc A b,8.138268,,5.7,,0.0,,850.0,5428.0,0.964,1.01,0.0,
GJ 1252 b,0.5182331,,1.193,1.32,0.0,,,3458.0,0.391,0.381,0.1,
GJ 143 b,35.61253,0.1915,2.61,22.7,0.188,,422.0,4640.0,0.695,0.73,0.003,4.613
GJ 238 b,1.7446999,0.02123,0.566,,,,758.0,3485.0,0.4314,0.4193,0.15,
GJ 3090 b,2.85310198,0.0316,2.18,4.52,0.25,45.4,723.0,3707.0,0.516,0.519,0.12,
GJ 341 b,7.57686,,0.88,4.0,0.0,13.8,,3770.0,0.5066,0.48,-0.16,4.72
GJ 3473 b,1.1980035,0.01589,1.264,1.86,0.0,59.4,773.0,3347.0,0.364,0.36,0.11,4.81
GJ 357 b,3.9306,0.036,1.2,,,,518.0,3505.0,0.337,0.342,-0.12,4.94
GJ 367 b,0.3219226,,0.736,0.503,0.0,,1329.0,3535.0,0.457,0.451,,
GJ 3929 b,2.616235,0.0252,1.09,1.75,0.0,17.3,568.0,3384.0,0.32,0.313,-0.02,4.89
GJ 806 b,0.9263237,0.01406,1.331,1.9,,130.0,940.0,3600.0,0.4144,0.413,-0.28,4.98
Gliese 12 b,12.761418,,0.93,0.95,0.24,,,3328.0,0.265,0.255,-0.24,5.25
HD 101581 b,4.46569,0.046,0.956,,,80.0,834.0,4675.0,0.63,0.653,-0.343,4.654
HD 101581 c,6.20401,0.0573,0.99,,,52.0,747.0,4675.0,0.63,0.653,-0.343,4.654
HD 108236 b,3.795963,0.04527,1.615,,0.045,,,5660.0,0.877,0.869,-0.28,4.49
HD 108236 c,6.203449,0.062,2.071,,0.034,,,5660.0,0.877,0.869,-0.28,4.49
HD 108236 e,19.590025,0.1367,3.083,,0.058,,,5660.0,0.877,0.869,-0.28,4.49
HD 109833 b,9.188526,,2.888,,0.18,,,5881.0,1.0,1.08,-0.07,4.45
HD 109833 c,13.900148,,2.59,,0.3,,,5881.0,1.0,1.08,-0.07,4.45
HD 110082 b,10.18271,0.113,3.2,,0.2,,,6200.0,1.19,1.21,0.08,4.2
HD 110113 b,2.541,0.035,2.05,4.55,0.093,735.49,1371.0,5732.0,0.968,0.997,0.14,4.46
HD 1397 b,11.53533,0.1097,11.500434,131.89945,0.251,356.0,1228.3,5521.0,2.336,1.324,0.29,3.823
HD 152843 b,11.62071,0.1049,3.05,9.82,0.046,265.4,,6310.0,1.43,1.15,-0.16,4.19
HD 152843 c,19.502104,0.1482,5.94,9.67,0.074,133.1,,6310.0,1.43,1.15,-0.16,4.19
HD 15337 b,4.7559804,,1.77,6.519,0.058,,,5131.0,0.855,0.829,0.03,4.48
HD 15337 c,17.180546,,2.526,6.792,0.096,,,5131.0,0.855,0.829,0.03,4.48
HD 15906 b,10.924709,0.09,2.24,,0.11,33.14,668.0,4757.0,0.762,0.79,0.02,4.49
HD 15906 c,21.583298,0.141,2.93,,0.04,13.37,532.0,4757.0,0.762,0.79,0.02,4.49
HD 183579 b,17.471291,0.1322,3.49,20.4,0.061,,752.0,5784.0,0.96,0.996,-0.038,4.45
HD 18599 b,4.1374354,0.048,2.6,24.1,0.34,,,5145.0,0.767,0.863,0.0,4.54
HD 191939 b,8.8803256,0.0804,3.41,10.0,0.031,100.0,880.0,5348.0,0.94,0.81,-0.15,4.3
HD 191939 c,28.579743,0.1752,3.195,8.0,0.034,21.0,600.0,5348.0,0.94,0.81,-0.15,4.3
HD 191939 d,38.353037,0.2132,2.995,2.8,0.031,14.3,540.0,5348.0,0.94,0.81,-0.15,4.3
HD 202772 A b,3.3088775,0.05208,18.2370116,323.54931833,0.03,3770.0,2181.0,6442.0,2.554,1.721,0.232,3.93
HD 20329 b,0.926118,0.018,1.72,7.42,0.0,3474.0,2141.0,5596.0,1.13,0.9,-0.07,4.4
HD 207496 b,6.441008,0.0629,2.25,6.1,0.231,72.9,743.0,4819.0,0.769,0.8,0.095,4.507
HD 207897 b,16.20166,0.117,2.34302132,14.8,0.0,,581.75,5106.0,0.7827,0.8208,-0.03,4.562
HD 213885 b,1.008035,0.02012,1.745,8.83,0.0,,2128.0,5978.0,1.1011,1.068,-0.04,4.3827
HD 21520 b,25.1292,0.1726,2.697,17.7,0.0,,637.0,5871.0,1.044,1.09,0.049,4.42
HD 21749 c,7.78993,0.0695,0.892,3.7,,,701.0,4640.0,0.695,0.73,0.003,4.613
HD 219666 b,6.034468,,4.898,17.6,0.05,,1076.0,5540.0,1.059,1.02,,
HD 221416 b,14.2767,0.1228,9.17,60.5,0.115,,,5080.0,2.943,1.212,-0.08,3.584
HD 22946 d,47.42489,0.2958,2.607,26.57,,18.561,546.0,6169.0,1.117,1.098,-0.08,4.47
HD 23472 b,17.667087,0.1162,2.0,8.32,0.072,16.0,543.0,4684.0,0.71,0.67,-0.2,4.53
HD 23472 c,29.79749,0.1646,1.87,3.41,0.063,7.96,467.0,4684.0,0.71,0.67,-0.2,4.53
HD 23472 d,3.97664,0.04298,0.75,0.55,0.07,117.0,909.0,4684.0,0.71,0.67,-0.2,4.53
HD 23472 e,7.90754,0.068,0.818,0.72,0.07,46.7,723.0,4684.0,0.71,0.67,-0.2,4.53
HD 23472 f,12.1621839,0.0906,1.137,0.77,0.07,26.3,630.0,4684.0,0.71,0.67,-0.2,4.53
