componente,varianza_explicada,varianza_acumulada
1,0.44019724833926677,0.44019724833926677
2,0.3019776748017654,0.7421749231410322
3,0.09596078936212477,0.838135712503157
4,0.06386313642942754,0.9019988489325845
5,0.03646942228676202,0.9384682712193465
6,0.03042541617168868,0.9688936873910352
7,0.01821660349263702,0.9871102908836722
8,0.003960409221668457,0.9910707001053406
9,0.00330768788863883,0.9943783879939794
10,0.00322935238624352,0.9976077403802229
11,0.0014303101059357096,0.9990380504861587
12,0.0009619495138412401,0.9999999999999999
