pl_name,disc_year,elegible_por_año,variables_presentes,variables_ausentes,cumple_completitud,retenido,columnas_ausentes,motivo_exclusion
pi Men c,2018,True,8,4,True,True,"pl_orbsmax,pl_bmasse,pl_insol,pl_eqt",retenido
LHS 3844 b,2019,True,12,0,True,True,,retenido
HD 202772 A b,2019,True,12,0,True,True,,retenido
GJ 143 b,2019,True,11,1,True,True,pl_insol,retenido
HD 23472 b,2019,True,12,0,True,True,,retenido
HD 23472 c,2019,True,12,0,True,True,,retenido
HD 219666 b,2018,True,8,4,True,True,"pl_orbsmax,pl_insol,st_met,st_logg",retenido
HD 1397 b,2018,True,12,0,True,True,,retenido
TOI-172 b,2019,True,12,0,True,True,,retenido
HD 221416 b,2019,True,10,2,True,True,"pl_insol,pl_eqt",retenido
HD 21749 c,2019,True,10,2,True,True,"pl_orbeccen,pl_insol",retenido
TOI-216.02,2019,True,6,6,False,False,"pl_orbsmax,pl_insol,pl_eqt,st_teff,st_met,st_logg",menos_de_8_mediciones
TOI-216.01,2019,True,6,6,False,False,"pl_orbsmax,pl_insol,pl_eqt,st_teff,st_met,st_logg",menos_de_8_mediciones
HD 15337 b,2019,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
HD 15337 c,2019,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
L 98-59 b,2019,True,12,0,True,True,,retenido
L 98-59 c,2019,True,12,0,True,True,,retenido
L 98-59 d,2019,True,12,0,True,True,,retenido
HD 2685 b,2019,True,11,1,True,True,pl_insol,retenido
TOI-150.01,2019,True,11,1,True,True,pl_insol,retenido
DS Tuc A b,2019,True,8,4,True,True,"pl_orbsmax,pl_bmasse,pl_insol,st_logg",retenido
HR 858 b,2019,True,11,1,True,True,pl_insol,retenido
HR 858 c,2019,True,11,1,True,True,pl_insol,retenido
HR 858 d,2019,True,11,1,True,True,pl_insol,retenido
TOI-270 b,2019,True,9,3,True,True,"pl_orbsmax,pl_insol,st_met",retenido
TOI-270 c,2019,True,9,3,True,True,"pl_orbsmax,pl_insol,st_met",retenido
TOI-270 d,2019,True,9,3,True,True,"pl_orbsmax,pl_insol,st_met",retenido
GJ 357 b,2019,True,9,3,True,True,"pl_bmasse,pl_orbeccen,pl_insol",retenido
LTT 1445 A b,2019,True,8,4,True,True,"pl_orbeccen,st_teff,st_met,st_logg",retenido
LP 791-18 b,2019,True,10,2,True,True,"pl_bmasse,pl_orbeccen",retenido
LP 791-18 c,2019,True,10,2,True,True,"pl_insol,pl_eqt",retenido
TOI-163 b,2019,True,11,1,True,True,pl_insol,retenido
TOI-125 b,2019,True,12,0,True,True,,retenido
TOI-125 c,2019,True,12,0,True,True,,retenido
HD 213885 b,2019,True,11,1,True,True,pl_insol,retenido
WASP-126 c,2019,True,6,6,False,False,"pl_orbsmax,pl_rade,pl_insol,pl_eqt,st_met,st_logg",menos_de_8_mediciones
TOI-813 b,2020,True,11,1,True,True,pl_bmasse,retenido
GJ 1252 b,2020,True,8,4,True,True,"pl_orbsmax,pl_insol,pl_eqt,st_logg",retenido
L 168-9 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-125 d,2020,True,12,0,True,True,,retenido
TOI-132 b,2020,True,12,0,True,True,,retenido
LHS 1815 b,2020,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
TOI-1130 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-1130 c,2020,True,11,1,True,True,pl_insol,retenido
TOI-677 b,2020,True,10,2,True,True,"pl_insol,pl_eqt",retenido
HD 332231 b,2020,True,11,1,True,True,pl_insol,retenido
LTT 3780 b,2020,True,12,0,True,True,,retenido
LTT 3780 c,2020,True,12,0,True,True,,retenido
TOI-1235 b,2020,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
TOI-1338 b,2020,True,6,6,False,False,"pl_orbsmax,pl_insol,pl_eqt,st_teff,st_met,st_logg",menos_de_8_mediciones
AU Mic b,2020,True,11,1,True,True,pl_insol,retenido
TOI-1728 b,2020,True,12,0,True,True,,retenido
NGTS-11 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-849 b,2020,True,8,4,True,True,"pl_insol,pl_eqt,st_met,st_logg",retenido
HD 191939 b,2020,True,12,0,True,True,,retenido
HD 191939 c,2020,True,12,0,True,True,,retenido
HD 191939 d,2020,True,12,0,True,True,,retenido
TOI-700 b,2020,True,10,2,True,True,"pl_bmasse,pl_eqt",retenido
TOI-700 c,2020,True,10,2,True,True,"pl_bmasse,pl_eqt",retenido
TOI-700 d,2020,True,10,2,True,True,"pl_bmasse,pl_eqt",retenido
HIP 67522 b,2020,True,8,4,True,True,"pl_bmasse,pl_insol,st_met,st_logg",retenido
TOI-1899 b,2020,True,12,0,True,True,,retenido
HIP 65 A b,2020,True,12,0,True,True,,retenido
TOI-157 b,2020,True,12,0,True,True,,retenido
TOI-169 b,2020,True,12,0,True,True,,retenido
HD 86226 c,2020,True,11,1,True,True,pl_insol,retenido
WD 1856+534 b,2020,True,11,1,True,True,st_met,retenido
LTT 9779 b,2020,True,11,1,True,True,pl_insol,retenido
HD 63433 b,2020,True,9,3,True,True,"pl_orbsmax,pl_orbeccen,pl_insol",retenido
HD 63433 c,2020,True,9,3,True,True,"pl_orbsmax,pl_orbeccen,pl_insol",retenido
TOI-763 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-763 c,2020,True,11,1,True,True,pl_insol,retenido
TOI-824 b,2020,True,11,1,True,True,pl_orbeccen,retenido
TOI-540 b,2020,True,9,3,True,True,"pl_bmasse,st_met,st_logg",retenido
TOI-1266 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-1266 c,2020,True,11,1,True,True,pl_insol,retenido
TOI-421 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-421 c,2020,True,11,1,True,True,pl_insol,retenido
GJ 3473 b,2020,True,12,0,True,True,,retenido
TOI-837 b,2020,True,11,1,True,True,pl_orbeccen,retenido
TOI-954 b,2020,True,12,0,True,True,,retenido
TOI-481 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-892 b,2020,True,11,1,True,True,pl_insol,retenido
TIC 237913194 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-122 b,2020,True,10,2,True,True,"pl_bmasse,st_met",retenido
TOI-237 b,2020,True,10,2,True,True,"pl_bmasse,st_met",retenido
LP 714-47 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-942 b,2020,True,6,6,False,False,"pl_bmasse,pl_insol,pl_eqt,st_teff,st_met,st_logg",menos_de_8_mediciones
TOI-942 c,2020,True,6,6,False,False,"pl_bmasse,pl_insol,pl_eqt,st_teff,st_met,st_logg",menos_de_8_mediciones
TOI-251 b,2021,True,10,2,True,True,"pl_insol,pl_eqt",retenido
TOI-776 b,2020,True,11,1,True,True,pl_insol,retenido
TOI-776 c,2020,True,11,1,True,True,pl_insol,retenido
TOI-561 b,2020,True,9,3,True,True,"st_teff,st_met,st_logg",retenido
TOI-561 c,2020,True,9,3,True,True,"st_teff,st_met,st_logg",retenido
TOI-561 d,2020,True,9,3,True,True,"st_teff,st_met,st_logg",retenido
TOI-561 e,2020,True,9,3,True,True,"st_teff,st_met,st_logg",retenido
HD 108236 b,2020,True,9,3,True,True,"pl_bmasse,pl_insol,pl_eqt",retenido
HD 108236 c,2020,True,9,3,True,True,"pl_bmasse,pl_insol,pl_eqt",retenido
TOI-1233.01,2021,True,9,3,True,True,"pl_bmasse,pl_insol,pl_eqt",retenido
HD 108236 e,2020,True,9,3,True,True,"pl_bmasse,pl_insol,pl_eqt",retenido
TOI-564 b,2020,True,12,0,True,True,,retenido
TOI-905 b,2020,True,12,0,True,True,,retenido
TOI-451 b,2020,True,12,0,True,True,,retenido
TOI-451 c,2020,True,12,0,True,True,,retenido
TOI-451 d,2020,True,12,0,True,True,,retenido
HD 110113 b,2021,True,12,0,True,True,,retenido
TOI-178 b,2021,True,8,4,True,True,"pl_orbsmax,pl_orbeccen,pl_insol,pl_eqt",retenido
TOI-178 c,2021,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
TOI-178 d,2021,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
TOI-178 e,2021,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
TOI-178 g,2021,True,9,3,True,True,"pl_orbsmax,pl_insol,pl_eqt",retenido
HD 183579 b,2021,True,11,1,True,True,pl_insol,retenido
HD 110082 b,2021,True,9,3,True,True,"pl_bmasse,pl_insol,pl_eqt",retenido
TOI-628 b,2021,True,11,1,True,True,pl_insol,retenido
TOI-640 b,2021,True,10,2,True,True,"pl_orbsmax,pl_insol",retenido
TOI-1333 b,2021,True,11,1,True,True,pl_insol,retenido
TOI-1478 b,2021,True,5,7,False,False,"pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg",menos_de_8_mediciones
TOI-1601 b,2021,True,11,1,True,True,pl_insol,retenido
TOI-201 b,2021,True,8,4,True,True,"pl_insol,pl_eqt,st_met,st_logg",retenido
TOI-519 b,2021,True,11,1,True,True,pl_insol,retenido
LHS 1478 b,2021,True,10,2,True,True,"pl_orbeccen,pl_insol",retenido
TOI-257 b,2021,True,12,0,True,True,,retenido
HD 5278 b,2021,True,12,0,True,True,,retenido
TOI-269 b,2021,True,12,0,True,True,,retenido
TOI-220 b,2021,True,11,1,True,True,pl_insol,retenido
TOI-1444 b,2021,True,11,1,True,True,pl_insol,retenido
TOI-1231 b,2021,True,12,0,True,True,,retenido
HD 152843 b,2021,True,11,1,True,True,pl_eqt,retenido
