pl_name,PC1,PC2,PC3,PC4,Cluster_K2,Familia_Planeta
AU Mic b,-0.3739500735237739,0.6303948687305394,-0.1057337503617315,-0.0989640977492697,0,Familia 0 (Población Estándar)
AU Mic c,0.6118085869428115,1.1055428704724044,0.4138143236219283,-0.2140520933038836,0,Familia 0 (Población Estándar)
BD+05 4868 A b,-1.836488192909768,-0.2445478355990305,-0.4700415341869341,-0.4938831133840919,0,Familia 0 (Población Estándar)
BD-14 3065 b,0.4820233322702784,-3.167789258820194,-0.3375704289812073,-1.5675462904015154,0,Familia 0 (Población Estándar)
DS Tuc A b,-0.0717522290287068,-0.1441112074797434,-0.6395847603938658,-0.1155064818054023,0,Familia 0 (Población Estándar)
GJ 1252 b,-2.4267556441283427,1.1598987518188588,-0.2860453842936583,0.3840311427661979,0,Familia 0 (Población Estándar)
GJ 143 b,1.5713826885069804,1.5839327774104557,0.2443480249621039,-0.067549362347505,0,Familia 0 (Población Estándar)
GJ 238 b,-2.0255379162992693,1.3757399556970171,-0.2311363885464236,0.5193329263806705,0,Familia 0 (Población Estándar)
GJ 3090 b,-1.2085575337677943,1.018588860664681,1.2243453654675462,0.1431995706772424,0,Familia 0 (Población Estándar)
GJ 341 b,-1.0780705451831107,1.7890093873310575,-0.5366774055978097,-0.5147016487633657,0,Familia 0 (Población Estándar)
GJ 3473 b,-2.204925866281428,1.380248057716833,-0.2724995457493851,0.4545265211544038,0,Familia 0 (Población Estándar)
GJ 357 b,-1.5908587484292336,2.158486639609545,0.226746978132263,-0.2435154196303721,0,Familia 0 (Población Estándar)
GJ 367 b,-2.532834174679945,0.9634691570452998,-0.427679888041971,-0.4224364000981279,0,Familia 0 (Población Estándar)
GJ 3929 b,-1.97636428730409,1.9608650070576263,-0.3128503155893796,0.1175463540939069,0,Familia 0 (Población Estándar)
GJ 806 b,-2.3534198040307577,1.5843455230247108,-0.3253855164837345,-0.7498112238467571,0,Familia 0 (Población Estándar)
Gliese 12 b,-1.121812624349366,3.1989051268455584,1.0974914667916964,-0.6290381048223157,0,Familia 0 (Población Estándar)
HD 101581 b,-1.2008546671428608,1.102366781246802,-0.4855121178830908,-1.356674519500625,0,Familia 0 (Población Estándar)
HD 101581 c,-0.9450107451771876,1.2575220277582717,-0.4579983900525549,-1.351310498556161,0,Familia 0 (Población Estándar)
HD 108236 b,-0.9615484190925102,0.0421656185963013,-0.4607807284581423,-1.42722120224704,0,Familia 0 (Población Estándar)
HD 108236 c,-0.605621681923252,0.2497051801520488,-0.5661589997522364,-1.3513320551623087,0,Familia 0 (Población Estándar)
HD 108236 e,0.7451643498078645,0.864653474908408,-0.5919122099411187,-1.1490332915323072,0,Familia 0 (Población Estándar)
HD 109833 b,0.3418855943704913,-0.092686085242125,0.3124906245990818,-0.7839790227772779,0,Familia 0 (Población Estándar)
HD 109833 c,0.8166881102969621,0.0423033649159416,1.0491140085594632,-0.8638134643320065,0,Familia 0 (Población Estándar)
HD 110082 b,0.8240380486806917,-0.8623561709357622,0.3471847453232879,-0.5403289441378435,0,Familia 0 (Población Estándar)
HD 110113 b,-1.0146092982874022,-0.7571992679337647,-0.0235505209752406,-0.2065186778649427,0,Familia 0 (Población Estándar)
HD 1397 b,1.4253497414276513,-2.3159908825397304,0.7774527221425827,0.0410884333136824,0,Familia 0 (Población Estándar)
HD 152843 b,0.553389492125719,-0.6943942984314165,-0.7003900619773133,-1.246904881660818,0,Familia 0 (Población Estándar)
HD 152843 c,1.298209691827777,-0.4751102742123694,-0.6299681214489029,-1.123410816837034,0,Familia 0 (Población Estándar)
HD 15337 b,-0.6855323528432334,0.0903518037169735,-0.2791190326986256,-0.3287940211544382,0,Familia 0 (Población Estándar)
HD 15337 c,0.4677476662694088,0.6908560568894065,-0.1976155792465279,-0.2508839787083872,0,Familia 0 (Población Estándar)
HD 15906 b,-0.0276536590881235,0.7458974364158364,-0.0162994544718584,-0.2926631731826857,0,Familia 0 (Población Estándar)
HD 15906 c,0.7212301652432819,1.0586000276803609,-0.5822261748765476,-0.0669634726994252,0,Familia 0 (Población Estándar)
HD 183579 b,0.7845695999172487,0.3000974776569397,-0.4908376555140243,-0.4087369882287163,0,Familia 0 (Población Estándar)
